# intensity: 1
# background: 0
#           Q (1/A)             dQ (1/A)                    R                   dR               theory              fresnel
          0.00567603         0.0002255919            0.8507665           0.04037224    0.523703855423623    0.112510666225688
         0.005728253         0.0002276766            0.9643983           0.02865323    0.521586954663696    0.111696871718314
         0.005781446         0.0002298003            0.9318983           0.02126318    0.519134858849323    0.110763046504408
         0.005835636         0.0002319641            0.8973101           0.01795241    0.516321270645316    0.109702115927449
         0.005890852         0.0002341691            0.8943583           0.01673568    0.513114010990596    0.108505931912256
         0.005947122         0.0002364165            0.8997917           0.01594046    0.509489950380062    0.107170591948624
         0.006004478         0.0002387076            0.9037005           0.01537948    0.505438475999796    0.105697625437581
         0.006062951         0.0002410437            0.8958531           0.01475854    0.500964357054172    0.104094820361175
         0.006122574          0.000243426            0.9101983           0.01460179    0.496087911662981    0.102375931422808
         0.006183381          0.000245856            0.8783944            0.0136849    0.490849333488753    0.100561373162674
         0.006245408         0.0002483352            0.9204226            0.0138096    0.485276206273438   0.0986678545674627
         0.006308693          0.000250865              0.93775           0.01378277     0.47942033472384   0.0967186969672602
         0.006373273          0.000253447             0.918006           0.01313767    0.473322844508096   0.0947329015244819
         0.006439188         0.0002560828            0.9597109           0.01328704    0.467017647317692    0.092726001390535
         0.006506482         0.0002587742            0.9413613           0.01255678    0.460529705726708   0.0907096042398054
         0.006575196         0.0002615229            0.9316844           0.01217011    0.453876030308484   0.0886919179369988
         0.006645378         0.0002643309            0.9340586           0.01196476    0.447066230258311   0.0866781795936313
         0.006717074         0.0002671999             0.954494           0.01185351    0.440112446780609   0.0846734844310764
         0.006790334         0.0002701321            0.9669268           0.01174953    0.432993251298455   0.0826735148710517
          0.00686521         0.0002731296             0.966198           0.01162978    0.425731780786043    0.080686768933483
         0.006941755         0.0002761946             0.940669           0.01122147    0.418320119431376   0.0787118250024419
         0.007020026         0.0002793293            0.9402266           0.01088934    0.410756114842972   0.0767492017386372
         0.007100083         0.0002825363            0.9726882           0.01068014    0.403037764926436   0.0747994191635297
         0.007181987          0.000285818            0.9771747           0.01037826    0.395163458204642   0.0728630487736748
         0.007265802         0.0002891771            0.9821933          0.009928399     0.38712620537265   0.0709390659896916
         0.007351597         0.0002926164            0.9844621          0.009513627    0.378944130125191   0.0690329123167328
         0.007439442         0.0002961387            0.9923784          0.009266391    0.370594030463966   0.0671401004760372
         0.007529412         0.0002997473            0.9784332          0.008860294    0.362084337746848   0.0652630105988334
         0.007621584         0.0003034451            0.9737721          0.008545493    0.353415202221771    0.063402253353002
         0.007716041         0.0003072358            0.9844964          0.008348086    0.344587079740543   0.0615584043822411
         0.007812869         0.0003111226             0.972863          0.007995866    0.335595059160668   0.0597306195116382
         0.007912158         0.0003151095            0.9914987           0.00787827    0.326453761133141   0.0579226263946359
         0.008014003         0.0003192004            0.9936806          0.007682519    0.317158818703039   0.0561333573828598
         0.008118504         0.0003233993            0.9975017          0.007501246    0.307720967291411   0.0543646538299052
         0.008225767         0.0003277106            0.9860479          0.007204411    0.298127935542951   0.0526144428960811
         0.008335902          0.000332139            0.9985522          0.007083296    0.288386680157955   0.0508833733536072
         0.008449026         0.0003366892            0.9949311          0.006831219    0.278518930523227   0.0491753349975116
         0.008565262         0.0003413664             1.001467          0.006683218    0.268523643087713   0.0474891866429646
         0.008684741         0.0003461761            0.9891635          0.006548999    0.258409306301098   0.0458255523514195
         0.008807601         0.0003511239             1.012215           0.00651515     0.24818580237904   0.0441850628642372
         0.008933987         0.0003562159             0.999951          0.006399777    0.237873178798446   0.0425695795798125
         0.009064053         0.0003614586            0.9975715          0.006283021    0.227457706435406   0.0409756971473603
         0.009197962         0.0003668587             1.009606          0.006089171    0.216981084504104   0.0394084669823767
         0.009335887         0.0003724235             1.012021          0.005891555    0.206450804242148   0.0378669243415116
         0.009478011         0.0003781607             1.018268           0.00574908    0.195885105479901   0.0363516890692521
         0.009624529         0.0003840785             1.012522          0.005582569    0.185304108695253   0.0348633666152371
         0.009775649         0.0003901856             1.007809          0.005447779    0.174729878208032    0.033402547346964
         0.009931589         0.0003964912             1.016255          0.005570911    0.164179226662498   0.0319687197913325
          0.01009259         0.0004030054             1.001052          0.005454894    0.153701322719433   0.0305657760884462
          0.01025889         0.0004097386             1.025143           0.00537461    0.143300282769438   0.0291909521946153
          0.01043076         0.0004167021             1.036668          0.005343696    0.133015325405254    0.027845962290748
          0.01060849         0.0004239081             1.022093          0.005318701    0.122878228535319   0.0265312934266546
          0.01079239         0.0004313695             1.028996          0.005270878    0.112922555374195   0.0252474205526862
          0.01098277         0.0004391004             1.030428           0.00513327    0.103177714674612   0.0239940316768043
          0.01117999         0.0004471155             1.019865          0.005051293   0.0936948138303105   0.0227735352224569
          0.01138442          0.000455431             1.026444          0.005134188   0.0845032411472841   0.0215852656077171
          0.01159647         0.0004640643             1.025016          0.005293612   0.0756452015962801   0.0204302317355823
          0.01181656         0.0004730341             1.015102          0.005103816   0.0671491081984382   0.0193074428484444
          0.01204518         0.0004823606             1.013102           0.00493068   0.0590578904772553   0.0182180060713149
          0.01228281         0.0004920656            0.9980657          0.004730596   0.0514033696711384   0.0171616612289746
          0.01253001         0.0005021729             0.954828          0.004525633   0.0442317117843889   0.0161402434814538
          0.01278736         0.0005127083            0.8738863          0.004311297   0.0375668327999106   0.0151529939725732
           0.0130555         0.0005236998             0.719894          0.003756079   0.0314359060058788   0.0142000388672872
          0.01333513          0.000535178            0.5489933          0.003209427   0.0258609069653338   0.0132813886086725
          0.01362701         0.0005471762            0.3461278          0.002460436   0.0208587112639949   0.0123970366679324
          0.01393194         0.0005597309            0.2080339           0.00182849   0.0164376815587056   0.0115463401177974
          0.01411042         0.0005617058            0.2034591          0.006922793   0.0141828969712851   0.0110795384578586
          0.01424025         0.0005668965            0.1679639          0.004112204   0.0127069294804394   0.0107550597585572
          0.01437248         0.0005721843            0.1532034          0.002951582   0.0113307187629109   0.0104369999659504
           0.0145072         0.0005775719            0.1240218          0.002249248    0.010046315273771   0.0101238178137552
          0.01464446         0.0005830621            0.1101314          0.001967315  0.00885963459881895  0.00981682054355036
          0.01478435          0.000588658           0.08997369          0.001667741  0.00776378995583129  0.00951498016000898
          0.01492693         0.0005943625           0.07848577          0.001484556  0.00676298997837543  0.00921931202952728
           0.0150723          0.000600179           0.06471067           0.00129023  0.00584994350136502  0.00892873364351339
          0.01522052         0.0006061107           0.06174247          0.001231777  0.00502811967491372  0.00864430371005337
          0.01537168         0.0006121612           0.05368373          0.001094157  0.00429029073966235  0.00836516863465422
          0.01552588          0.000618334           0.04997923          0.001035295  0.00363839997025305  0.00809184252912638
           0.0156832         0.0006246328           0.04659046         0.0009840435  0.00306523740025559  0.00782350627572401
          0.01584374         0.0006310616           0.04248706         0.0009041758  0.00257254747376755  0.00756125501974271
          0.01600761         0.0006376246           0.04155167         0.0008835418  0.00215256535720507  0.00730389725119229
           0.0161749         0.0006443258           0.03628216         0.0007855801  0.00180623435077237  0.00705260774028904
          0.01634572         0.0006511698           0.03482671         0.0007501472  0.00152711881584231  0.00680659750484193
          0.01652019         0.0006581612           0.03092881         0.0006934502  0.00131110536401006  0.00656573188778867
          0.01669842         0.0006653047           0.02968594         0.0006646179  0.00115518966983167  0.00633054720512355
          0.01688055         0.0006726055           0.02573643         0.0006069771  0.00105451866292735  0.00610032198614828
          0.01706668         0.0006800689           0.02409511         0.0005809028  0.00100545014623591   0.0058757051700402
          0.01725697         0.0006877002           0.02268705         0.0005518775  0.00100262238100885  0.00565636611813401
          0.01745155         0.0006955053           0.02083077         0.0005120217  0.00104118932381647  0.00544228386093534
          0.01765057         0.0007034902           0.01906612         0.0004714326  0.00111616660637807  0.00523341964037069
          0.01785418         0.0007116612           0.01847768         0.0004496266  0.00122245799618509  0.00502974032101754
          0.01806254         0.0007200248           0.01645045         0.0004036562  0.00135475551286078  0.00483101714899894
          0.01827583         0.0007285881            0.0146628         0.0003648122  0.00150802353656684  0.00463774723507837
          0.01849421         0.0007373583           0.01424082         0.0003483867  0.00167710577294873  0.00444937704196616
          0.01871787          0.000746343           0.01331968          0.000324634  0.00185662034491275  0.00426602932413254
          0.01894701         0.0007555501           0.01247405         0.0003037638  0.00204141819740122  0.00408765384970634
          0.01918182         0.0007649882           0.01134832         0.0002813963  0.00222644275094908  0.00391421403160498
          0.01942253         0.0007746659           0.01055751         0.0002613524  0.00240689645982047  0.00374549538877882
          0.01966936         0.0007845927           0.01010212         0.0002489266  0.00257793518706325  0.00358178381966586
          0.01992255         0.0007947782          0.009471518         0.0002346534  0.00273520756334896  0.00342284378628485
          0.02018233         0.0008052328          0.008672841         0.0002186701  0.00287460640203926   0.0032687317715734
